№	Кодировка
355	0001111111111000
356	0001111111111001
357	0001111111111010
358	0001111111111011
359	0001111111111110
360	0001111111111111
361	0011110011000011
362	0011110011000111
363	0011110011001111
364	0011110011010111
365	0011110011011011
366	0011110011011111
367	0011110011111111
368	0011110111010110
369	0011110111010111
370	0011110111011010
371	0011110111011011
372	0011110111011110
373	0011110111011111
374	0011110111101101
375	0011110111101111
376	0011110111111101
377	0011110111111110
378	0011110111111111
379	0011111111111100
380	0011111111111101
381	0011111111111111
382	0110100110010110
383	0110100110010111
384	0110100110011111
385	0110100110111111
386	0110100111111111
387	0110101110111101
388	0110101110111111
389	0110101111010110
390	0110101111010111
391	0110101111011111
392	0110101111111101
393	0110101111111111
394	0110111111110110
395	0110111111110111
396	0110111111111001
397	0110111111111011
398	0110111111111111
399	0111111011111111
400	0111111111111110
401	0111111111111111
402	1111111111111111
